,Ship Mode,Segment,City,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
1398,Standard Class,Consumer,New York City,Office Supplies,Appliances,entre 3 y 4,0.0,Medium,December,35.12571428571429
1399,Standard Class,Consumer,Houston,Furniture,Chairs,entre 3 y 4,0.3,High,April,27.424
1400,Second Class,Consumer,San Francisco,Office Supplies,Storage,entre 1 y 2,0.0,High,December,234.92
1401,Standard Class,Consumer,Philadelphia,Office Supplies,Appliances,entre 3 y 4,0.2,Medium,December,112.80457142857142
1402,Standard Class,Corporate,Houston,Technology,Phones,entre 7 y 8,0.2,Low,November,16.389333333333333
1403,Second Class,Consumer,San Francisco,Office Supplies,Storage,entre 3 y 4,0.0,High,June,26.76571428571429
1404,Standard Class,Consumer,Los Angeles,Office Supplies,Storage,entre 7 y 8,0.0,High,May,13.972000000000001
1405,Second Class,Corporate,Houston,Technology,Phones,entre 3 y 4,0.2,Medium,December,37.68
1406,First Class,Consumer,Dallas,Technology,Accessories,entre 3 y 4,0.2,High,August,34.128
1407,First Class,Corporate,San Diego,Furniture,Chairs,entre 1 y 2,0.2,Medium,December,54.28266666666667
1408,Standard Class,Corporate,Houston,Office Supplies,Appliances,entre 1 y 2,0.8,High,September,62.02133333333333
1409,Standard Class,Corporate,Chicago,Office Supplies,Storage,entre 3 y 4,0.2,High,April,29.238857142857142
1410,Second Class,Consumer,San Francisco,Technology,Accessories,entre 3 y 4,0.0,High,April,30.84857142857143
1411,Standard Class,Corporate,Philadelphia,Office Supplies,Storage,entre 1 y 2,0.2,High,July,56.52266666666667
1412,Second Class,Corporate,Houston,Technology,Accessories,entre 5 y 6,0.2,Medium,September,15.490909090909092
1413,Second Class,Consumer,Chicago,Office Supplies,Appliances,entre 5 y 6,0.8,High,March,32.905454545454546
1414,Second Class,Consumer,Philadelphia,Office Supplies,Binders,entre 9 y 10,0.7,High,November,8.29042105263158
1415,Standard Class,Corporate,San Diego,Technology,Machines,entre 1 y 2,0.2,Medium,February,159.98933333333335
1416,Standard Class,Corporate,San Francisco,Office Supplies,Binders,entre 5 y 6,0.2,Medium,July,35.76436363636364
1417,Standard Class,Consumer,San Francisco,Furniture,Chairs,entre 3 y 4,0.2,Medium,June,34.95771428571429
1418,Standard Class,Corporate,New York City,Furniture,Bookcases,entre 3 y 4,0.2,Medium,November,53.15657142857143
1419,Standard Class,Corporate,Springfield,Office Supplies,Paper,entre 3 y 4,0.2,Medium,October,37.68685714285714
1420,Second Class,Home Office,Houston,Technology,Accessories,entre 5 y 6,0.2,Medium,September,29.01090909090909
1421,First Class,Corporate,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Critical,May,11.417142857142858
1422,Standard Class,Consumer,San Francisco,Furniture,Furnishings,entre 3 y 4,0.0,High,August,24.41142857142857
1423,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 7 y 8,0.2,High,November,15.665066666666666
1424,Standard Class,Consumer,Columbus,Technology,Phones,entre 7 y 8,0.4,Medium,November,29.433600000000002
1425,Standard Class,Consumer,Seattle,Technology,Phones,entre 1 y 2,0.2,Medium,December,104.528
1426,Second Class,Consumer,San Francisco,Furniture,Furnishings,entre 3 y 4,0.0,Medium,August,35.417142857142856
1427,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Low,May,20.105142857142855
1428,Standard Class,Consumer,San Francisco,Office Supplies,Appliances,entre 1 y 2,0.0,High,September,72.64
1429,Standard Class,Consumer,Philadelphia,Furniture,Furnishings,entre 1 y 2,0.2,Medium,November,182.37866666666665
1430,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Medium,June,50.708571428571425
1431,Standard Class,Corporate,Columbus,Technology,Phones,entre 1 y 2,0.4,Medium,December,119.96
1432,Standard Class,Consumer,San Diego,Technology,Phones,entre 3 y 4,0.2,Medium,February,45.70514285714285
1433,Standard Class,Consumer,San Francisco,Office Supplies,Storage,entre 3 y 4,0.0,Medium,September,55.41428571428571
1434,First Class,Consumer,New York City,Office Supplies,Labels,entre 5 y 6,0.0,High,September,13.66909090909091
1435,Standard Class,Consumer,Houston,Technology,Phones,entre 1 y 2,0.2,Medium,November,98.98666666666666
1436,Standard Class,Corporate,New York City,Technology,Phones,entre 1 y 2,0.0,Medium,September,225.32000000000002
1437,Same Day,Consumer,Springfield,Office Supplies,Storage,entre 1 y 2,0.2,Critical,July,17.322666666666667
1438,Standard Class,Home Office,Chicago,Office Supplies,Binders,entre 9 y 10,0.8,High,May,11.00842105263158
1439,First Class,Home Office,New York City,Office Supplies,Storage,entre 7 y 8,0.0,High,August,8.512
1440,Standard Class,Corporate,Seattle,Office Supplies,Storage,entre 5 y 6,0.0,High,September,16.82181818181818
1441,Standard Class,Consumer,Houston,Office Supplies,Paper,entre 3 y 4,0.2,High,April,33.55885714285714
1442,Standard Class,Home Office,Los Angeles,Office Supplies,Binders,entre 7 y 8,0.2,Medium,May,18.764799999999997
1443,Standard Class,Consumer,Houston,Technology,Phones,entre 1 y 2,0.2,Medium,November,100.79466666666667
1444,Second Class,Consumer,San Diego,Office Supplies,Paper,entre 1 y 2,0.0,High,June,69.89999999999999
1445,First Class,Consumer,Seattle,Office Supplies,Storage,entre 3 y 4,0.0,High,November,27.41142857142857
1446,Standard Class,Consumer,Springfield,Office Supplies,Art,entre 7 y 8,0.0,Medium,June,24.248
1447,Standard Class,Consumer,Seattle,Office Supplies,Paper,entre 3 y 4,0.0,Low,December,35.40571428571429
1448,Second Class,Consumer,Springfield,Office Supplies,Storage,entre 5 y 6,0.0,High,April,17.12727272727273
1449,Standard Class,Consumer,New York City,Office Supplies,Storage,entre 1 y 2,0.0,Medium,December,111.14666666666666
1450,Standard Class,Corporate,Los Angeles,Technology,Accessories,entre 5 y 6,0.0,High,August,17.29090909090909
1451,Standard Class,Consumer,Dallas,Office Supplies,Storage,entre 1 y 2,0.2,Medium,June,102.38933333333334
1452,Standard Class,Consumer,Seattle,Office Supplies,Paper,entre 5 y 6,0.0,Medium,December,34.49090909090909
1453,First Class,Corporate,Springfield,Office Supplies,Envelopes,entre 1 y 2,0.0,Critical,November,22.64
1454,Second Class,Consumer,Springfield,Office Supplies,Storage,entre 3 y 4,0.0,Medium,September,81.79714285714286
1455,Same Day,Consumer,Dallas,Office Supplies,Storage,entre 5 y 6,0.2,Critical,October,9.85309090909091
1456,Second Class,Consumer,New York City,Furniture,Tables,entre 1 y 2,0.4,Medium,August,139.432
1457,Standard Class,Consumer,New York City,Furniture,Bookcases,entre 5 y 6,0.2,Medium,September,768.8552727272727
1458,Standard Class,Corporate,Columbus,Office Supplies,Paper,entre 1 y 2,0.0,High,October,50.586666666666666
1459,Second Class,Corporate,Philadelphia,Office Supplies,Binders,entre 1 y 2,0.7,Critical,March,34.598
1460,Second Class,Consumer,New York City,Office Supplies,Paper,entre 13 y14,0.0,High,March,8.068148148148149
1461,Standard Class,Consumer,Dallas,Furniture,Furnishings,entre 5 y 6,0.6,High,September,19.70909090909091
1462,First Class,Consumer,Dallas,Technology,Phones,entre 1 y 2,0.2,Critical,November,23.456
1463,Standard Class,Home Office,Columbus,Office Supplies,Paper,entre 5 y 6,0.2,Medium,April,76.25454545454545
1464,Second Class,Consumer,Seattle,Technology,Accessories,entre 1 y 2,0.0,High,December,66.39999999999999
1465,Standard Class,Home Office,Houston,Furniture,Chairs,entre 3 y 4,0.3,Medium,December,78.588
1466,Standard Class,Consumer,Los Angeles,Office Supplies,Storage,entre 9 y 10,0.0,Medium,November,32.10631578947368
1467,Standard Class,Consumer,San Francisco,Office Supplies,Storage,entre 9 y 10,0.0,Medium,April,15.858947368421052
1468,Standard Class,Consumer,Seattle,Office Supplies,Paper,entre 7 y 8,0.0,Medium,December,33.077333333333335
1469,Same Day,Home Office,San Francisco,Office Supplies,Art,entre 9 y 10,0.0,Critical,July,3.9126315789473685
1470,Standard Class,Home Office,Columbus,Furniture,Furnishings,entre 3 y 4,0.0,High,March,21.97714285714286
1471,Same Day,Consumer,Seattle,Office Supplies,Paper,entre 11 y 12,0.0,High,September,6.1982608695652175
1472,Standard Class,Corporate,Los Angeles,Office Supplies,Appliances,entre 3 y 4,0.0,Medium,September,53.18571428571429
1473,First Class,Corporate,San Francisco,Office Supplies,Appliances,entre 3 y 4,0.0,Critical,September,12.36
1474,Standard Class,Consumer,Houston,Office Supplies,Paper,entre 7 y 8,0.2,Medium,June,19.490133333333333
1475,Standard Class,Corporate,Dallas,Furniture,Tables,entre 1 y 2,0.3,High,August,68.98733333333332
1476,First Class,Corporate,New York City,Office Supplies,Storage,entre 3 y 4,0.0,High,March,23.97714285714286
1477,First Class,Consumer,Seattle,Technology,Accessories,entre 1 y 2,0.0,High,September,47.98666666666667
1478,First Class,Consumer,Philadelphia,Office Supplies,Storage,entre 1 y 2,0.2,High,August,36.14933333333333
1479,Second Class,Home Office,Springfield,Furniture,Chairs,entre 1 y 2,0.3,Medium,November,103.58133333333335
1480,Same Day,Home Office,Seattle,Technology,Accessories,entre 1 y 2,0.0,High,July,39.986666666666665
1481,Second Class,Corporate,San Francisco,Office Supplies,Appliances,entre 1 y 2,0.0,High,December,46.32
1482,Second Class,Consumer,Houston,Office Supplies,Storage,entre 3 y 4,0.2,Critical,September,10.272
1483,Second Class,Consumer,Chicago,Technology,Phones,entre 1 y 2,0.2,High,July,98.98666666666666
1484,Standard Class,Corporate,Columbus,Technology,Accessories,entre 5 y 6,0.2,Medium,December,21.78181818181818
1485,Standard Class,Consumer,San Diego,Furniture,Furnishings,entre 7 y 8,0.0,Medium,August,43.70133333333333
1486,First Class,Consumer,New York City,Office Supplies,Paper,entre 7 y 8,0.0,Critical,November,6.234666666666667
1487,Standard Class,Home Office,Los Angeles,Technology,Accessories,entre 3 y 4,0.0,Medium,October,77.14285714285714
1488,Standard Class,Corporate,Dallas,Furniture,Bookcases,entre 3 y 4,0.32,Medium,November,58.85691428571429
1489,Standard Class,Home Office,Philadelphia,Technology,Accessories,entre 3 y 4,0.2,High,March,23.993142857142857
1490,Standard Class,Home Office,Chicago,Technology,Accessories,entre 3 y 4,0.2,Medium,December,65.136
1491,Standard Class,Corporate,New York City,Technology,Accessories,entre 3 y 4,0.0,Medium,June,39.98857142857143
1492,Standard Class,Consumer,Springfield,Office Supplies,Paper,entre 5 y 6,0.2,Medium,September,27.03709090909091
1493,Second Class,Home Office,Seattle,Office Supplies,Paper,entre 5 y 6,0.0,High,December,20.763636363636365
1494,Standard Class,Consumer,Columbus,Furniture,Furnishings,entre 1 y 2,0.0,Medium,August,80.86666666666666
1495,Standard Class,Consumer,Chicago,Technology,Accessories,entre 3 y 4,0.2,Medium,November,23.30742857142857
1496,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,December,118.62171428571428
1497,Standard Class,Home Office,Seattle,Furniture,Bookcases,entre 1 y 2,0.0,High,January,56.653333333333336
1498,Standard Class,Corporate,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,August,41.17714285714286
1499,Standard Class,Consumer,Philadelphia,Office Supplies,Storage,entre 1 y 2,0.2,Medium,October,187.936
1500,Standard Class,Home Office,Springfield,Technology,Accessories,entre 3 y 4,0.0,High,May,43.417142857142856
1501,Second Class,Consumer,San Francisco,Office Supplies,Binders,entre 7 y 8,0.2,High,November,11.207466666666667
1502,First Class,Home Office,Chicago,Furniture,Furnishings,entre 1 y 2,0.6,Medium,September,56.181333333333335
1503,Second Class,Corporate,New York City,Office Supplies,Storage,entre 1 y 2,0.0,Medium,September,80.22
1504,Standard Class,Corporate,San Francisco,Furniture,Furnishings,entre 1 y 2,0.0,High,May,43.306666666666665
1505,Standard Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,Medium,September,107.99142857142859
1506,Standard Class,Home Office,Columbus,Office Supplies,Binders,entre 3 y 4,0.0,Low,June,26.057142857142857
1507,Same Day,Corporate,San Francisco,Furniture,Furnishings,entre 5 y 6,0.0,Critical,September,11.490909090909092
1508,Standard Class,Corporate,San Francisco,Technology,Phones,entre 3 y 4,0.2,High,August,30.822857142857142
1509,Standard Class,Corporate,Los Angeles,Furniture,Chairs,entre 5 y 6,0.2,Medium,May,50.810181818181825
1510,Same Day,Consumer,San Francisco,Office Supplies,Storage,entre 3 y 4,0.0,High,November,17.942857142857143
1511,Standard Class,Consumer,Seattle,Furniture,Chairs,entre 1 y 2,0.2,Medium,May,147.30666666666667
1512,First Class,Home Office,San Francisco,Office Supplies,Supplies,entre 5 y 6,0.0,High,November,9.0
1513,Standard Class,Corporate,New York City,Technology,Phones,entre 7 y 8,0.0,Medium,October,145.59066666666666
1514,First Class,Home Office,San Francisco,Office Supplies,Binders,entre 5 y 6,0.2,Medium,October,18.516363636363636
1515,Second Class,Consumer,Philadelphia,Furniture,Tables,entre 1 y 2,0.4,Medium,July,92.392
1516,First Class,Corporate,San Francisco,Technology,Accessories,entre 1 y 2,0.0,High,November,66.65333333333334
1517,First Class,Corporate,Philadelphia,Office Supplies,Storage,entre 1 y 2,0.2,Medium,June,43.18933333333334
1518,Standard Class,Home Office,Seattle,Technology,Accessories,entre 3 y 4,0.0,Low,November,31.131428571428568
1519,First Class,Consumer,Los Angeles,Office Supplies,Labels,entre 7 y 8,0.0,Critical,November,11.694666666666667
1520,Standard Class,Corporate,Philadelphia,Furniture,Bookcases,entre 3 y 4,0.5,Medium,August,46.82285714285714
1521,Standard Class,Consumer,New York City,Technology,Accessories,entre 3 y 4,0.0,High,February,25.705714285714286
1522,Standard Class,Consumer,Chicago,Office Supplies,Storage,entre 5 y 6,0.2,High,July,41.62181818181818
1523,Standard Class,Consumer,Los Angeles,Office Supplies,Appliances,entre 1 y 2,0.0,High,December,71.30666666666666
1524,First Class,Consumer,San Francisco,Office Supplies,Binders,entre 1 y 2,0.2,Medium,November,35.498666666666665
1525,First Class,Home Office,Philadelphia,Technology,Accessories,entre 1 y 2,0.2,Critical,November,23.573333333333334
1526,Standard Class,Consumer,San Francisco,Office Supplies,Binders,entre 13 y 14,0.2,High,April,9.013333333333334
1527,Standard Class,Consumer,Seattle,Office Supplies,Envelopes,entre 5 y 6,0.0,Medium,August,24.70909090909091
1528,Standard Class,Consumer,San Diego,Furniture,Furnishings,entre 3 y 4,0.0,High,November,23.131428571428568
1529,Standard Class,Home Office,Columbus,Furniture,Tables,entre 1 y 2,0.4,Medium,April,136.784
1530,Same Day,Home Office,New York City,Office Supplies,Labels,entre 5 y 6,0.0,Critical,October,4.463636363636364
1531,Standard Class,Corporate,Los Angeles,Technology,Phones,entre 1 y 2,0.2,High,May,55.98933333333333
1532,Standard Class,Home Office,Seattle,Furniture,Furnishings,entre 3 y 4,0.0,Medium,September,54.80571428571428
1533,Same Day,Home Office,Chicago,Technology,Phones,entre 1 y 2,0.2,Critical,March,22.906666666666666
1534,Standard Class,Consumer,Los Angeles,Office Supplies,Storage,entre 3 y 4,0.0,Medium,June,86.92285714285715
1535,Standard Class,Corporate,Seattle,Furniture,Furnishings,entre 1 y 2,0.0,Medium,November,91.69333333333333
1536,Standard Class,Home Office,New York City,Furniture,Furnishings,entre 3 y 4,0.0,Medium,July,36.80571428571428
1537,Standard Class,Corporate,New York City,Office Supplies,Storage,entre 1 y 2,0.0,Medium,June,86.2
1538,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 7 y 8,0.2,Medium,October,17.165866666666666
1539,Second Class,Consumer,Springfield,Technology,Accessories,entre 5 y 6,0.0,Medium,September,20.509090909090908
1540,Standard Class,Consumer,San Francisco,Office Supplies,Binders,entre 7 y 8,0.2,High,January,15.9488
1541,Second Class,Home Office,Springfield,Office Supplies,Paper,entre 3 y 4,0.2,High,January,18.089142857142857
1542,Standard Class,Consumer,Houston,Office Supplies,Paper,entre 5 y 6,0.2,Medium,September,33.11127272727273
1543,Second Class,Consumer,Columbus,Office Supplies,Art,entre 3 y 4,0.0,Critical,December,11.442857142857141
1544,Same Day,Consumer,Columbus,Office Supplies,Storage,entre 1 y 2,0.2,High,March,36.14933333333333
1545,Standard Class,Consumer,New York City,Office Supplies,Storage,entre 7 y 8,0.0,Medium,July,33.14266666666666
1546,First Class,Consumer,Seattle,Furniture,Chairs,entre 1 y 2,0.2,High,March,32.47466666666667
1547,Second Class,Consumer,Philadelphia,Technology,Accessories,entre 1 y 2,0.2,Critical,December,36.256
1548,Standard Class,Consumer,Philadelphia,Office Supplies,Envelopes,entre 5 y 6,0.2,High,September,9.547636363636364
1549,Second Class,Consumer,Springfield,Technology,Accessories,entre 5 y 6,0.0,Medium,September,53.972727272727276
1550,Second Class,Consumer,Los Angeles,Office Supplies,Paper,entre 3 y 4,0.0,Medium,September,47.55428571428571
1551,Standard Class,Consumer,Seattle,Office Supplies,Storage,entre 5 y 6,0.0,Low,March,15.218181818181819
1552,Second Class,Consumer,New York City,Furniture,Tables,entre 1 y 2,0.4,Medium,November,111.0
1553,Standard Class,Consumer,San Diego,Office Supplies,Storage,entre 3 y 4,0.0,Medium,February,53.29714285714285
1554,Standard Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,Medium,January,39.41142857142857
1555,Standard Class,Home Office,Los Angeles,Technology,Phones,entre 1 y 2,0.2,Medium,January,73.06133333333334
1556,Second Class,Consumer,San Francisco,Office Supplies,Paper,entre 1 y 2,0.0,Critical,February,47.25333333333333
1557,Standard Class,Consumer,Columbus,Technology,Accessories,entre 5 y 6,0.0,Medium,September,45.445454545454545
